month,state,city,killinj,# Injured,Address,r,g,b
2-Nov-17,Michigan,Inkster,1,0,Colgate and Wellington,255,40,0
2-Nov-17,Ohio,Toledo,0,0,500 block of Columbus St,255,40,0
2-Nov-17,Illinois,Chicago,0,1,1400 block of E 69th Pl,255,40,0
2-Nov-17,Ohio,Dayton (Huber Heights),0,1,8250 Schoolgate Dr,255,40,0
2-Nov-17,Illinois,Moline,0,0,10 block of Vale Ct,255,40,0
2-Nov-17,Ohio,West Portsmouth,0,0,2884 Careys Run Pond Creek Rd,255,40,0
2-Nov-17,Connecticut,Wethersfield,0,0,Middletown Ave,255,40,0
2-Nov-17,Connecticut,Wethersfield,1,0,Alison Ln,255,40,0
2-Nov-17,Illinois,Peoria,0,0,3400 W Oakcrest Dr,255,40,0
2-Nov-17,Michigan,Lansing,0,1,Irving Ave,255,40,0
2-Nov-17,Wisconsin,Milwaukee,0,1,4600 Block of W Capitol Dr,255,40,0
2-Nov-17,Oregon,Madras,0,1,SW L St and S Adams Dr,255,40,0
2-Nov-17,Kentucky,Radcliff,1,1,672 Knox Blvd,255,40,0
2-Nov-17,Texas,Mabank,2,0,239 Forest Lane Dr,255,40,0
2-Nov-17,Nevada,Henderson,0,1,900 block of Seven Hills Dr,255,40,0
2-Nov-17,Kentucky,Lexington,0,0,Village Dr,255,40,0
2-Nov-17,Pennsylvania,Milford,1,1,Milford Rd,255,40,0
2-Nov-17,Missouri,Saint Louis,0,3,2005 N Florissant Ave,255,40,0
2-Nov-17,Arizona,Tucson,0,1,N/A,255,40,0
2-Nov-17,Missouri,Ashland,2,0,500 Block of Nickman Road,255,40,0
2-Nov-17,Pennsylvania,Pittsburgh,0,1,NA,255,40,0
2-Nov-17,Florida,Fort Lauderdale (Lauderhill),1,0,1700 block of NW 58th,255,40,0
2-Nov-17,Virginia,Danville,1,0,3500 W Main St,255,40,0
2-Nov-17,Michigan,Battle Creek,0,0,Gardinia St,255,40,0
2-Nov-17,New Hampshire,Conway,0,2,57 Washington St,255,40,0
2-Nov-17,Pennsylvania,Philadelphia,2,0,3500 block of Amber St,255,40,0
2-Nov-17,Oregon,Sweet Home,0,0,2225 Long St,255,40,0
2-Nov-17,Indiana,Evansville,0,2,Monroe Ave and S Evans Ave,255,40,0
2-Nov-17,North Carolina,Charlotte,0,1,1900 block of Anderson Street,255,40,0
2-Nov-17,North Carolina,Charlotte,0,0,3100 block of Monroe Road,255,40,0
2-Nov-17,New York,Corning,0,0,W William St and Park Ln,255,40,0
2-Nov-17,Oregon,Hillsboro,0,0,N/A,255,40,0
2-Nov-17,Georgia,Savannah,0,1,Haven Drive,255,40,0
2-Nov-17,Georgia,Savannah,1,1,11709 Largo Drive,255,40,0
2-Nov-17,Maryland,Randallstown,0,0,4000 Offutt Rd,255,40,0
2-Nov-17,Oklahoma,Tulsa,1,0,1200 block of S Winston Ave,255,40,0
2-Nov-17,California,Bakersfield,0,0,2900 block of Daken St,255,40,0
2-Nov-17,Massachusetts,Worcester,0,0,91 Murray Ave,255,40,0
2-Nov-17,New Jersey,Trenton,0,1,800 block of E State St,255,40,0
2-Nov-17,Illinois,Freeport,0,0,1100 S Galena Ave,255,40,0
2-Nov-17,Illinois,Waukegan,0,2,1400 block of Dugdale Rd,255,40,0
2-Nov-17,Tennessee,Memphis,0,0,2856 Hickory Hill Rd,255,40,0
2-Nov-17,New Jersey,Paterson,0,0,Rosa Parks Blvd and Hamilton Ave,255,40,0
2-Nov-17,Tennessee,Humboldt,0,0,Burrow St,255,40,0
2-Nov-17,New Jersey,Swedesboro (Woolwich Township),0,0,US 322 and NJ Tnpke,255,40,0
2-Nov-17,Louisiana,New Orleans,0,1,4900 block of Ray Avenue,,,
2-Nov-17,Louisiana,Port Allen,1,0,Burbridge Street,,,
2-Nov-17,Louisiana,New Orleans,0,0,Spain Street,,,
2-Nov-17,Arkansas,Genoa,1,0,Genoa Road,,,
2-Nov-17,New Jersey,Bayville,0,0,41 Frederick Dr,,,
2-Nov-17,California,North Highlands,1,0,5300 block of President Ave,,,
2-Nov-17,Maryland,Baltimore,1,0,200 block of S Collins Ave,,,
2-Nov-17,Indiana,Fort Wayne,0,0,2522 Wells St,,,
2-Nov-17,Louisiana,Lafayette,0,0,Louisiana Ave and Carmel Dr,,,
2-Nov-17,Louisiana,Arnaudville,1,0,1000 block of Kennedy Drive,,,
2-Nov-17,Maryland,Baltimore,1,0,700 block of Mura St,,,
2-Nov-17,Maryland,Baltimore,1,0,5400 block of Moores Run Dr,,,
2-Nov-17,Indiana,Owen (county),1,0,N/A,,,
